Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
RB,Tevin Coleman (7852144),Tevin Coleman,7852144,4000,ATL@LA,Atl,Tevin,Coleman,LA,13.95,8.9,5,0.071090047
TE,C.J. Fiedorowicz (7852435),C.J. Fiedorowicz,7852435,3900,HOU@IND,Hou,C.J.,Fiedorowicz,Ind,0,9,2,0.154897494
RB,Damien Williams (7852197),Damien Williams,7852197,3900,ARI@MIA,Mia,Damien,Williams,Ari,3.33,4.8,6,0.059620596
RB,DuJuan Harris (7852202),DuJuan Harris,7852202,3900,NYJ@SF,SF,DuJuan,Harris,NYJ,0,2.3,10,0.024
TE,Ladarius Green (7852470),Ladarius Green,7852470,3900,PIT@BUF,Pit,Ladarius,Green,Buf,11.42,9.3,8,0.042462845
WR,Michael Floyd (7852374),Michael Floyd,7852374,3900,ARI@MIA,Ari,Michael,Floyd,Mia,0,11.2,3,0.137596899
WR,Robert Woods (7852354),Robert Woods,7852354,3900,PIT@BUF,Buf,Robert,Woods,PIT,8.91,7.2,1,0.179271709
WR,Tavon Austin (7852283),Tavon Austin,7852283,3900,ATL@LA,LA,Tavon,Austin,Atl,8.71,12.1,2,0.191176471
WR,Ty Montgomery (7852307),Ty Montgomery,7852307,3900,SEA@GB,GB,Ty,Montgomery,Sea,12.29,7.6,4,0.08266129
TE,Antonio Gates (7852481),Antonio Gates,7852481,3800,SD@CAR,SD,Antonio,Gates,Car,11.22,12,4,0.143867925
RB,Cameron Artis-Payne (7852254),Cameron Artis-Payne,7852254,3800,SD@CAR,Car,Cameron,Artis-Payne,SD,0,0,11,0.002314815
WR,Eli Rogers (7852368),Eli Rogers,7852368,3800,PIT@BUF,Pit,Eli,Rogers,Buf,7.56,8.9,4,0.097664544
TE,Eric Ebron (7852418),Eric Ebron,7852418,3800,CHI@DET,Det,Eric,Ebron,Chi,8.97,10.5,5,0.126696833
RB,James Starks (7852176),James Starks,7852176,3800,SEA@GB,GB,James,Starks,Sea,0,6.6,7,0.050403226
WR,John Brown (7852375),John Brown,7852375,3800,ARI@MIA,Ari,John,Brown,Mia,5.93,7.8,4,0.122093023
WR,Marquess Wilson (7852343),Marquess Wilson,7852343,3800,CHI@DET,Chi,Marquess,Wilson,Det,0,0,10,0.036866359
RB,Paul Perkins (7852228),Paul Perkins,7852228,3800,DAL@NYG,NYG,Paul,Perkins,Dal,6.94,2.4,8,0.040685225
RB,T.J. Yeldon (7852173),T.J. Yeldon,7852173,3800,MIN@JAX,Jax,T.J.,Yeldon,Min,11.09,14.8,4,0.109090909
